num_golfers,num_weeks,num_groups,group_size,tightness_T,probe_conflicts,sa_runtime,exact_runtime,sa_finished,exact_finished,winner
14,3,7,2,0.2307692307692307,0.0,0.2010138034820556,0.2341194152832031,1,1,sa
15,3,3,5,0.8571428571428571,1297.0,100.0,100.0,0,0,none
15,3,5,3,0.4285714285714285,0.0,0.2357890605926513,0.212245225906372,1,1,exact
16,3,4,4,0.6,876.0,0.2899212837219238,0.1847138404846191,1,1,exact
16,3,8,2,0.2,0.0,0.2408533096313476,0.3701381683349609,1,1,sa
18,3,3,6,0.8823529411764706,1931.0,100.0,100.0,0,0,none
18,3,6,3,0.3529411764705882,0.0,0.2912185192108154,0.4169678688049316,1,1,sa
18,3,9,2,0.1764705882352941,0.0,0.2783057689666748,0.5736525058746338,1,1,sa
20,3,4,5,0.631578947368421,201185.0,100.0,100.0,0,0,none
20,3,5,4,0.4736842105263157,0.0,0.3693339824676513,0.4215066432952881,1,1,sa
20,3,10,2,0.1578947368421052,0.0,0.3193967342376709,0.8250980377197266,1,1,sa
21,3,3,7,0.9,2718.0,100.0,100.0,0,0,none
21,3,7,3,0.3,0.0,0.3528742790222168,0.7059304714202881,1,1,sa
22,3,11,2,0.1428571428571428,0.0,0.3606669902801513,1.2686023712158203,1,1,sa
24,3,3,8,0.9130434782608696,3670.0,100.0,100.0,0,0,none
24,3,4,6,0.6521739130434783,387114.0,100.0,100.0,0,0,none
24,3,6,4,0.391304347826087,0.0,0.4710440635681152,0.8212239742279053,1,1,sa
24,3,8,3,0.2608695652173913,0.0,0.4360439777374267,1.137653350830078,1,1,sa
24,3,12,2,0.1304347826086956,0.0,0.409064769744873,1.7227487564086914,1,1,sa
25,3,5,5,0.5,2436.0,100.0,0.6768195629119873,0,1,exact
27,3,3,9,0.9230769230769232,4799.0,100.0,100.0,0,0,none
27,3,9,3,0.2307692307692307,0.0,0.5236935615539551,1.7970201969146729,1,1,sa
28,3,4,7,0.6666666666666666,678889.0,100.0,100.0,0,0,none
28,3,7,4,0.3333333333333333,0.0,0.5804507732391357,1.488525629043579,1,1,sa
30,3,3,10,0.9310344827586208,6117.0,100.0,100.0,0,0,none
30,3,5,6,0.5172413793103449,1313147.0,100.0,100.0,0,0,none
30,3,6,5,0.4137931034482758,35343.0,100.0,1.470832109451294,0,1,exact
30,3,10,3,0.2068965517241379,0.0,0.595923662185669,2.8031063079833984,1,1,sa
8,4,4,2,0.5714285714285714,0.0,0.1278741359710693,0.0750477313995361,1,1,exact
8,4,8,1,0.0,0.0,0.1134710311889648,0.1057910919189453,1,1,exact
9,4,9,1,0.0,0.0,0.1243252754211425,0.1443929672241211,1,1,sa
10,4,5,2,0.4444444444444444,0.0,0.1591911315917968,0.1313261985778808,1,1,exact
10,4,10,1,0.0,0.0,0.1390247344970703,0.197160005569458,1,1,sa
11,4,11,1,0.0,0.0,0.1586160659790039,0.2546048164367676,1,1,sa
12,4,4,3,0.7272727272727273,44959.0,0.2163071632385254,0.1626942157745361,1,1,exact
12,4,6,2,0.3636363636363636,0.0,0.1902897357940673,0.2249622344970703,1,1,sa
12,4,12,1,0.0,0.0,0.1678578853607177,0.3285050392150879,1,1,sa
14,4,7,2,0.3076923076923077,0.0,0.2330629825592041,0.3710534572601318,1,1,sa
15,4,5,3,0.5714285714285714,10068.0,0.2750234603881836,0.3130638599395752,1,1,sa
16,4,4,4,0.8,143988.0,100.0,0.3295273780822754,0,1,exact
16,4,8,2,0.2666666666666666,0.0,0.2769904136657715,0.5858216285705566,1,1,sa
18,4,6,3,0.4705882352941176,0.0,0.3423402309417724,0.5775032043457031,1,1,sa
18,4,9,2,0.2352941176470588,0.0,0.314525842666626,0.8928024768829346,1,1,sa
20,4,4,5,0.8421052631578947,312606.0,100.0,100.0,0,0,none
20,4,5,4,0.631578947368421,1643311.0,100.0,0.762660026550293,0,1,exact
20,4,10,2,0.2105263157894736,0.0,0.3659467697143554,1.344069242477417,1,1,sa
21,4,7,3,0.4,1744.0,0.4126303195953369,1.0395195484161377,1,1,sa
22,4,11,2,0.1904761904761904,0.0,0.4152374267578125,2.088747262954712,1,1,sa
24,4,4,6,0.8695652173913043,597617.0,100.0,100.0,0,0,none
24,4,6,4,0.5217391304347826,45217.0,100.0,1.228663444519043,0,1,exact
24,4,8,3,0.3478260869565217,1295.0,0.489814281463623,1.7776670455932615,1,1,sa
24,4,12,2,0.1739130434782608,0.0,0.4677755832672119,3.039945363998413,1,1,sa
25,4,5,5,0.6666666666666666,3564540.0,100.0,1.3473224639892578,0,1,exact
27,4,9,3,0.3076923076923077,0.0,0.5849637985229492,2.8635263442993164,1,1,sa
28,4,4,7,0.8888888888888888,1043228.0,100.0,100.0,0,0,none
28,4,7,4,0.4444444444444444,1704.0,100.0,2.299480676651001,0,1,exact
30,4,5,6,0.6896551724137931,2018019.0,100.0,100.0,0,0,none
30,4,6,5,0.5517241379310345,2781732.0,100.0,3.178575277328491,0,1,exact
30,4,10,3,0.2758620689655172,0.0,0.6669917106628418,4.451936721801758,1,1,sa
8,5,4,2,0.7142857142857143,0.0,0.1423702239990234,0.0911698341369628,1,1,exact
8,5,8,1,0.0,449.0,0.125300645828247,0.1380133628845214,1,1,sa
9,5,9,1,0.0,0.0,0.1418893337249755,0.1884050369262695,1,1,sa
10,5,5,2,0.5555555555555556,0.0,0.1773943901062011,0.1559982299804687,1,1,exact
10,5,10,1,0.0,0.0,0.1573755741119384,0.2481720447540283,1,1,sa
11,5,11,1,0.0,0.0,0.1734311580657959,0.3131744861602783,1,1,sa
12,5,4,3,0.9090909090909092,1320134.0,100.0,100.0,0,0,none
12,5,6,2,0.4545454545454545,0.0,0.2163264751434326,0.2821192741394043,1,1,sa
12,5,12,1,0.0,0.0,0.1909620761871338,0.4277565479278564,1,1,sa
14,5,7,2,0.3846153846153846,0.0,0.2582681179046631,0.4929995536804199,1,1,sa
15,5,5,3,0.7142857142857143,684519.0,100.0,0.4087262153625488,0,1,exact
16,5,8,2,0.3333333333333333,0.0,0.307657241821289,0.7904167175292969,1,1,sa
18,5,6,3,0.5882352941176471,14917.0,0.384368896484375,0.7805657386779785,1,1,sa
18,5,9,2,0.2941176470588235,0.0,0.3551902770996094,1.2575342655181885,1,1,sa
20,5,5,4,0.7894736842105263,2300156.0,100.0,1.1995913982391355,0,1,exact
20,5,10,2,0.2631578947368421,0.0,0.408095121383667,1.9896087646484373,1,1,sa
21,5,7,3,0.5,0.0,0.4741191864013672,1.4283549785614014,1,1,sa
22,5,11,2,0.238095238095238,0.0,0.4558486938476562,2.9567153453826904,1,1,sa
24,5,6,4,0.6521739130434783,6119045.0,100.0,2.426661729812622,0,1,exact
24,5,8,3,0.4347826086956521,0.0,0.5647363662719727,2.3948447704315186,1,1,sa
24,5,12,2,0.217391304347826,0.0,0.5202469825744629,4.181082487106323,1,1,sa
25,5,5,5,0.8333333333333334,5009123.0,100.0,1.92660927772522,0,1,exact
27,5,9,3,0.3846153846153846,0.0,0.6477842330932617,4.6128990650177,1,1,sa
28,5,7,4,0.5555555555555556,8647163.0,100.0,4.811553239822388,0,1,exact
30,5,5,6,0.8620689655172413,2755962.0,100.0,100.0,0,0,none
30,5,6,5,0.6896551724137931,5028474.0,100.0,100.0,0,0,none
30,5,10,3,0.3448275862068966,0.0,1.016688585281372,6.797106981277466,1,1,sa
